ensembl_gene_id,external_gene_name,ensembl_peptide_id,uniprotswissprot,chromosome_name,band
ENSG00000134020,PEBP4,ENSP00000256404,Q96S96,8,p21.3
ENSG00000168546,GFRA2,ENSP00000428518,O00451,8,p21.3
ENSG00000185053,SGCZ,ENSP00000371512,Q96LD1,8,p22
ENSG00000198791,CNOT7,ENSP00000355279,Q9UIV1,8,p22
ENSG00000179388,EGR3,ENSP00000318057,Q06889,8,p21.3
ENSG00000221818,EBF2,ENSP00000430241,Q9HAK2,8,p21.2
ENSG00000104714,ERICH1,ENSP00000428635,,8,p23.3
ENSG00000155975,VPS37A,ENSP00000318629,Q8NEZ2,8,p22
ENSG00000248235,,ENSP00000399696,,8,p21.3
ENSG00000159167,STC1,ENSP00000290271,P52823,8,p21.2
ENSG00000104228,TRIM35,ENSP00000301924,Q9UPQ4,8,p21.2
ENSG00000198042,MAK16,ENSP00000353246,Q9BXY0,8,p12
ENSG00000147421,HMBOX1,ENSP00000287701,Q6NT76,8,p21.1
ENSG00000172728,FUT10,ENSP00000332757,Q6P4F1,8,p12
ENSG00000156687,UNC5D,ENSP00000385143,Q6UXZ4,8,p12
ENSG00000038945,MSR1,ENSP00000262101,P21757,8,p22
ENSG00000092964,DPYSL2,ENSP00000427985,,8,p21.2
ENSG00000147454,SLC25A37,ENSP00000429200,Q9NYZ2,8,p21.2
ENSG00000177669,MBOAT4,ENSP00000314196,Q96T53,8,p12
ENSG00000147459,DOCK5,ENSP00000387036,,8,p21.2
ENSG00000104660,LEPROTL1,ENSP00000314625,O95214,8,p12
ENSG00000120907,ADRA1A,ENSP00000369960,P35348,8,p21.2
ENSG00000133878,DUSP26,ENSP00000256261,Q9BV47,8,p12
ENSG00000167034,NKX3-1,ENSP00000370253,Q99801,8,p21.2
ENSG00000134013,LOXL2,ENSP00000373783,Q9Y4K0,8,p21.3
ENSG00000104219,ZDHHC2,ENSP00000262096,Q9UIJ5,8,p22
ENSG00000168300,PCMTD1,ENSP00000353739,Q96MG8,8,q11.23
ENSG00000104765,BNIP3L,ENSP00000370003,O60238,8,p21.2
ENSG00000197892,KIF13B,ENSP00000427900,Q9NQT8,8,p12
ENSG00000104671,DCTN6,ENSP00000221114,O00399,8,p12
ENSG00000221914,PPP2R2A,ENSP00000370113,P63151,8,p21.2
ENSG00000197217,ENTPD4,ENSP00000430579,,8,p21.3
ENSG00000164808,SPIDR,ENSP00000297423,Q14159,8,q11.21
ENSG00000104611,SH2D4A,ENSP00000265807,Q9H788,8,p21.3
ENSG00000240694,PNMA2,ENSP00000429344,Q9UL42,8,p21.2
ENSG00000254087,LYN,ENSP00000428924,P07948,8,q12.1
ENSG00000147481,SNTG1,ENSP00000429276,Q9NSN8,8,q11.21
ENSG00000133872,SARAF,ENSP00000256255,Q96BY9,8,p12
ENSG00000172817,CYP7B1,ENSP00000310721,O75881,8,q12.3
ENSG00000178538,CA8,ENSP00000314407,P35219,8,q12.1
ENSG00000133874,RNF122,ENSP00000256257,Q9H9V4,8,p12
ENSG00000165061,ZMAT4,ENSP00000319785,Q9H898,8,p11.21
ENSG00000121005,CRISPLD1,ENSP00000262207,Q9H336,8,q21.13
ENSG00000104679,R3HCC1,ENSP00000486624,,8,p21.3
ENSG00000104722,NEFM,ENSP00000221166,P07197,8,p21.2
ENSG00000164751,PEX2,ENSP00000349543,P28328,8,q21.13
ENSG00000147485,PXDNL,ENSP00000429855,,8,q11.23
ENSG00000091656,ZFHX4,ENSP00000498627,Q86UP3,8,q21.13
ENSG00000177182,CLVS1,ENSP00000428986,,8,q12.2
ENSG00000104442,ARMC1,ENSP00000276569,Q9NVT9,8,q13.1
ENSG00000221947,XKR9,ENSP00000430781,,8,q13.3
ENSG00000076641,PAG1,ENSP00000220597,Q9NWQ8,8,q21.13
ENSG00000137573,SULF1,ENSP00000436608,,8,q13.2
ENSG00000165084,C8orf34,ENSP00000427820,Q49A92,8,q13.2
ENSG00000164879,CA3,ENSP00000429760,,8,q21.2
ENSG00000164749,HNF4G,ENSP00000346339,Q14541,8,q21.13
ENSG00000104331,BPNT2,ENSP00000262644,Q9NX62,8,q12.1
ENSG00000040341,STAU2,ENSP00000428456,Q9NUL3,8,q21.11
ENSG00000164949,GEM,ENSP00000379497,P55040,8,q22.1
ENSG00000156103,MMP16,ENSP00000286614,P51512,8,q21.3
ENSG00000147613,PSKH2,ENSP00000276616,Q96QS6,8,q21.3
ENSG00000147596,PRDM14,ENSP00000276594,Q9GZV8,8,q13.3
ENSG00000164687,FABP5,ENSP00000297258,Q01469,8,q21.13
ENSG00000164951,PDP1,ENSP00000297598,Q9P0J1,8,q22.1
ENSG00000104321,TRPA1,ENSP00000428151,,8,q21.11
ENSG00000079112,CDH17,ENSP00000027335,Q12864,8,q22.1
ENSG00000147649,MTDH,ENSP00000338235,Q86UE4,8,q22.1
