ensembl_gene_id,external_gene_name,ensembl_peptide_id,uniprotswissprot,chromosome_name,band
ENSG00000154646,TMPRSS15,ENSP00000284885,P98073,21,q21.1
ENSG00000154639,CXADR,ENSP00000284878,P78310,21,q21.1
ENSG00000277282,IGHV1OR21-1,ENSP00000481738,,21,p11.2
ENSG00000142207,URB1,ENSP00000372199,O60287,21,q22.11
ENSG00000232263,KRTAP25-1,ENSP00000398619,Q3LHN0,21,q22.11
ENSG00000154721,JAM2,ENSP00000383376,P57087,21,q21.3
ENSG00000156282,CLDN17,ENSP00000286808,P56750,21,q21.3
ENSG00000188694,KRTAP24-1,ENSP00000339238,Q3LI83,21,q22.11
ENSG00000156304,SCAF4,ENSP00000286835,O95104,21,q22.11
ENSG00000154654,NCAM2,ENSP00000383392,O15394,21,q21.1
ENSG00000156284,CLDN8,ENSP00000382783,P56748,21,q22.11
ENSG00000142149,HUNK,ENSP00000270112,P57058,21,q22.11
ENSG00000154642,C21orf91,ENSP00000284881,Q9NYK6,21,q21.1
ENSG00000159256,MORC3,ENSP00000383333,Q14149,21,q22.12
ENSG00000159086,PAXBP1,ENSP00000328992,Q9Y5B6,21,q22.11
ENSG00000205929,EPCIP,ENSP00000418830,Q9NYP8,21,q22.11
ENSG00000205726,ITSN1,ENSP00000382290,Q15811,21,q22.11
ENSG00000241837,ATP5PO,ENSP00000393496,,21,q22.11
ENSG00000154645,CHODL,ENSP00000382993,Q9H9P2,21,q21.1
ENSG00000156273,BACH1,ENSP00000447332,,21,q21.3
ENSG00000157557,ETS2,ENSP00000353344,P15036,21,q22.2
ENSG00000157551,KCNJ15,ENSP00000449140,,21,q22.13
ENSG00000205758,CRYZL1,ENSP00000370966,O95825,21,q22.11
ENSG00000156239,N6AMT1,ENSP00000303584,Q9Y5N5,21,q21.3
ENSG00000249209,,ENSP00000394107,,21,q22.11
ENSG00000154736,ADAMTS5,ENSP00000284987,Q9UNA0,21,q21.3
ENSG00000157617,C2CD2,ENSP00000388704,,21,q22.3
ENSG00000173276,ZBTB21,ENSP00000381517,Q9ULJ3,21,q22.3
ENSG00000159228,CBR1,ENSP00000434613,P16152,21,q22.12
ENSG00000159231,CBR3,ENSP00000290354,O75828,21,q22.12
ENSG00000166979,EVA1C,ENSP00000407190,,21,q22.11
ENSG00000159079,CFAP298,ENSP00000411306,,21,q22.11
ENSG00000265590,CFAP298-TCP10L,ENSP00000501042,,21,q22.11
ENSG00000242220,TCP10L,ENSP00000501134,,21,q22.11
ENSG00000154640,BTG3,ENSP00000344609,Q14201,21,q21.1
ENSG00000184900,SUMO3,ENSP00000380995,,21,q22.3
ENSG00000154719,MRPL39,ENSP00000284967,Q9NYK5,21,q21.3
ENSG00000155307,SAMSN1,ENSP00000383409,Q9NSI8,21,q11.2
ENSG00000159263,SIM2,ENSP00000290399,Q14190,21,q22.13
ENSG00000183145,RIPPLY3,ENSP00000331734,P57055,21,q22.13
ENSG00000160208,RRP1B,ENSP00000339145,Q14684,21,q22.3
ENSG00000160209,PDXK,ENSP00000381155,,21,q22.3
ENSG00000160214,RRP1,ENSP00000426898,,21,q22.3
ENSG00000160216,AGPAT3,ENSP00000291572,Q9NRZ7,21,q22.3
ENSG00000160218,TRAPPC10,ENSP00000291574,P48553,21,q22.3
ENSG00000241945,PWP2,ENSP00000411749,,21,q22.3
ENSG00000157540,DYRK1A,ENSP00000495632,,21,q22.13
ENSG00000141956,PRDM15,ENSP00000431410,,21,q22.3
ENSG00000160199,PKNOX1,ENSP00000402243,,21,q22.3
ENSG00000160200,CBS,ENSP00000381225,P35520,21,q22.3
ENSG00000160201,U2AF1,ENSP00000418705,Q01081,21,q22.3
ENSG00000185917,SETD4,ENSP00000382163,Q9NVD3,21,q22.12
ENSG00000173638,SLC19A1,ENSP00000393988,,21,q22.3
ENSG00000182871,COL18A1,ENSP00000498485,P39060,21,q22.3
ENSG00000183844,FAM3B,ENSP00000350673,P58499,21,q22.3
ENSG00000154734,ADAMTS1,ENSP00000284984,Q9UHI8,21,q21.3
ENSG00000159055,MIS18A,ENSP00000290130,Q9NYP9,21,q22.11
ENSG00000170262,MRAP,ENSP00000382684,Q8TCY5,21,q22.11
ENSG00000160193,WDR4,ENSP00000328671,P57081,21,q22.3
ENSG00000160194,NDUFV3,ENSP00000342895,P56181,21,q22.3
ENSG00000154727,GABPA,ENSP00000346886,Q06546,21,q21.3
ENSG00000159212,CLIC6,ENSP00000290332,Q96NY7,21,q22.12
ENSG00000274391,TPTE,ENSP00000482040,P56180,21,p11.2
ENSG00000159082,SYNJ1,ENSP00000388869,,21,q22.11
ENSG00000185272,RBM11,ENSP00000383421,P57052,21,q11.2
ENSG00000155304,HSPA13,ENSP00000285667,P48723,21,q11.2
ENSG00000183527,PSMG1,ENSP00000329915,O95456,21,q22.2
ENSG00000185658,BRWD1,ENSP00000330753,Q9NSI6,21,q22.2
ENSG00000205581,HMGN1,ENSP00000288344,,21,q22.2
ENSG00000182093,GET1,ENSP00000410228,,21,q22.2
ENSG00000285815,GET1-SH3BGR,ENSP00000497977,,21,q22.2
ENSG00000183036,PCP4,ENSP00000329403,P48539,21,q22.2
ENSG00000171587,DSCAM,ENSP00000383303,O60469,21,q22.2
ENSG00000182240,BACE2,ENSP00000333854,Q9Y5Z0,21,q22.2
ENSG00000183421,RIPK4,ENSP00000330161,P57078,21,q22.3
ENSG00000160181,TFF2,ENSP00000291526,Q03403,21,q22.3
ENSG00000160182,TFF1,ENSP00000291527,P04155,21,q22.3
ENSG00000160183,TMPRSS3,ENSP00000411013,P57727,21,q22.3
ENSG00000160185,UBASH3A,ENSP00000489058,,21,q22.3
ENSG00000160188,RSPH1,ENSP00000291536,Q8WYR4,21,q22.3
ENSG00000160190,SLC37A1,ENSP00000410129,,21,q22.3
ENSG00000160191,PDE9A,ENSP00000291539,O76083,21,q22.3
