ensembl_gene_id,external_gene_name,ensembl_peptide_id,uniprotswissprot,chromosome_name,band
ENSG00000099812,MISP,ENSP00000215582,Q8IVT2,19,p13.3
ENSG00000064687,ABCA7,ENSP00000263094,Q8IZY2,19,p13.3
ENSG00000116017,ARID3A,ENSP00000263620,Q99856,19,p13.3
ENSG00000064932,SBNO2,ENSP00000354733,Q9Y2G9,19,p13.3
ENSG00000183186,C2CD4C,ENSP00000328677,Q8TF44,19,p13.3
ENSG00000205922,ONECUT3,ENSP00000371786,O60422,19,p13.3
ENSG00000116032,GRIN3B,ENSP00000234389,O60391,19,p13.3
ENSG00000064666,CNN2,ENSP00000263097,Q99439,19,p13.3
ENSG00000099864,PALM,ENSP00000264560,O75781,19,p13.3
ENSG00000125910,S1PR4,ENSP00000246115,O95977,19,p13.3
ENSG00000125912,NCLN,ENSP00000466678,,19,p13.3
ENSG00000011132,APBA3,ENSP00000315136,O96018,19,p13.3
ENSG00000105289,TJP3,ENSP00000439278,O95049,19,p13.3
ENSG00000167476,JSRP1,ENSP00000300961,Q96MG2,19,p13.3
ENSG00000105428,ZNRF4,ENSP00000222033,Q8WWF5,19,p13.3
ENSG00000031823,RANBP3,ENSP00000404837,Q9H6Z4,19,p13.3
ENSG00000176533,GNG7,ENSP00000371594,O60262,19,p13.3
ENSG00000105248,YJU2,ENSP00000262962,Q9BW85,19,p13.3
ENSG00000060558,GNA15,ENSP00000262958,P30679,19,p13.3
ENSG00000160633,SAFB,ENSP00000468543,,19,p13.3
ENSG00000171105,INSR,ENSP00000342838,P06213,19,p13.2
ENSG00000161082,CELF5,ENSP00000292672,Q8N6W0,19,p13.3
ENSG00000141968,VAV1,ENSP00000302269,,19,p13.3
ENSG00000105278,ZFR2,ENSP00000262961,Q9UPR6,19,p13.3
ENSG00000175691,ZNF77,ENSP00000319053,Q15935,19,p13.3
ENSG00000088256,GNA11,ENSP00000078429,P29992,19,p13.3
ENSG00000133243,BTBD2,ENSP00000255608,Q9BX70,19,p13.3
