ensembl_gene_id,external_gene_name,ensembl_peptide_id,uniprotswissprot,chromosome_name,band
ENSG00000142611,PRDM16,ENSP00000426975,,1,p36.32
ENSG00000157911,PEX10,ENSP00000288774,O60683,1,p36.32
ENSG00000142655,PEX14,ENSP00000349016,O75381,1,p36.22
ENSG00000149527,PLCH2,ENSP00000476436,,1,p36.32
ENSG00000171621,SPSB1,ENSP00000330221,Q96BD6,1,p36.22
ENSG00000142583,SLC2A5,ENSP00000366641,P22732,1,p36.23
ENSG00000173614,NMNAT1,ENSP00000385131,,1,p36.22
ENSG00000204624,DISP3,ENSP00000294484,Q9P2K9,1,p36.22
ENSG00000142606,MMEL1,ENSP00000461938,,1,p36.32
ENSG00000171729,TMEM51,ENSP00000365182,Q9NW97,1,p36.21
ENSG00000157916,RER1,ENSP00000367779,,1,p36.32
ENSG00000157881,PANK4,ENSP00000367727,Q9NVE7,1,p36.32
ENSG00000048707,VPS13D,ENSP00000478104,Q5THJ4,1,p36.22
ENSG00000162444,RBP7,ENSP00000324228,,1,p36.22
ENSG00000180758,GPR157,ENSP00000366628,Q5UAW9,1,p36.22
ENSG00000184677,ZBTB40,ENSP00000496988,,1,p36.12
ENSG00000131697,NPHP4,ENSP00000423747,O75161,1,p36.31
ENSG00000197921,HES5,ENSP00000367714,Q5TA89,1,p36.32
ENSG00000204138,PHACTR4,ENSP00000362945,Q8IZ21,1,p35.3
ENSG00000090020,SLC9A1,ENSP00000263980,P19634,1,p36.11
ENSG00000158006,PAFAH2,ENSP00000363400,Q99487,1,p36.11
ENSG00000196581,AJAP1,ENSP00000367432,Q9UKB5,1,p36.32
ENSG00000169403,PTAFR,ENSP00000362965,P25105,1,p35.3
ENSG00000171612,SLC25A33,ENSP00000306328,Q9BSK2,1,p36.22
ENSG00000188910,GJB3,ENSP00000362464,O75712,1,p34.3
ENSG00000158161,EYA3,ENSP00000362978,Q99504,1,p35.3
ENSG00000189337,KAZN,ENSP00000489835,,1,p36.21
ENSG00000028137,TNFRSF1B,ENSP00000365435,P20333,1,p36.22
ENSG00000130939,UBE4B,ENSP00000253251,O95155,1,p36.22
ENSG00000127472,PLA2G5,ENSP00000364249,P39877,1,p36.13
ENSG00000060656,PTPRU,ENSP00000334941,Q92729,1,p35.3
ENSG00000189280,GJB5,ENSP00000340811,O95377,1,p34.3
ENSG00000134698,AGO4,ENSP00000362306,Q9HCK5,1,p34.3
ENSG00000273274,ZBTB8B,ENSP00000476499,Q8NAP8,1,p35.1
ENSG00000130940,CASZ1,ENSP00000366221,Q86V15,1,p36.22
ENSG00000163879,DNALI1,ENSP00000498620,O14645,1,p34.3
ENSG00000116954,RRAGC,ENSP00000362092,Q9HB90,1,p34.3
ENSG00000163873,GRIK3,ENSP00000362183,Q13003,1,p34.3
ENSG00000117215,PLA2G2D,ENSP00000364246,Q9UNK4,1,p36.12
ENSG00000044012,GUCA2B,ENSP00000361662,Q16661,1,p34.2
ENSG00000179051,RCC2,ENSP00000364585,Q9P258,1,p36.13
ENSG00000126067,PSMB2,ENSP00000362334,P49721,1,p34.3
ENSG00000274944,,ENSP00000406846,,1,p34.3
ENSG00000054118,THRAP3,ENSP00000346634,Q9Y2W1,1,p34.3
ENSG00000276747,PADI6,ENSP00000483125,Q6TGC4,1,p36.13
ENSG00000159339,PADI4,ENSP00000364602,,1,p36.13
ENSG00000158315,RHBDL2,ENSP00000289248,Q9NX52,1,p34.3
ENSG00000186973,CFAP144,ENSP00000387249,,1,p34.2
ENSG00000146463,ZMYM4,ENSP00000322915,Q5VZL5,1,p34.3
ENSG00000142686,C1orf216,ENSP00000425166,Q8TAB5,1,p34.3
ENSG00000117148,ACTL8,ENSP00000364555,Q9H568,1,p36.13
ENSG00000117000,RLF,ENSP00000361857,Q13129,1,p34.2
ENSG00000092853,CLSPN,ENSP00000251195,Q9HAW4,1,p34.3
ENSG00000134697,GNL2,ENSP00000362153,Q13823,1,p34.3
ENSG00000187513,GJA4,ENSP00000343676,P35212,1,p34.3
ENSG00000116151,MORN1,ENSP00000367792,Q5T089,1,p36.32
ENSG00000006555,TTC22,ENSP00000360323,Q5TAA0,1,p32.3
ENSG00000214114,MYCBP,ENSP00000380702,Q99417,1,p34.3
ENSG00000116544,DLGAP3,ENSP00000362444,O95886,1,p34.3
ENSG00000117016,RIMS3,ENSP00000361769,Q9UJD0,1,p34.2
ENSG00000163866,SMIM12,ENSP00000429902,,1,p34.3
ENSG00000162384,CZIB,ENSP00000294360,Q9NWV4,1,p32.3
ENSG00000162391,FAM151A,ENSP00000306888,Q8WW52,1,p32.3
ENSG00000117859,OSBPL9,ENSP00000360779,Q96SU4,1,p32.3
ENSG00000162396,PARS2,ENSP00000360327,Q7L3T8,1,p32.3
ENSG00000162378,ZYG11B,ENSP00000294353,Q9C0D3,1,p32.3
ENSG00000243725,TTC4,ENSP00000360329,O95801,1,p32.3
ENSG00000171872,KLF17,ENSP00000361373,Q5JT82,1,p34.1
ENSG00000162407,PLPP3,ENSP00000360296,O14495,1,p32.2
ENSG00000163877,SNIP1,ENSP00000296215,Q8TAD8,1,p34.3
ENSG00000157184,CPT2,ENSP00000360541,P23786,1,p32.3
ENSG00000198815,FOXJ3,ENSP00000361652,,1,p34.2
ENSG00000134744,TUT4,ENSP00000432475,,1,p32.3
ENSG00000283039,KLF18,ENSP00000489024,A0A0U1RQI7,1,p34.1
ENSG00000162385,MAGOH,ENSP00000360525,P61326,1,p32.3
ENSG00000123080,CDKN2C,ENSP00000262662,P42773,1,p32.3
ENSG00000162598,C1orf87,ENSP00000389432,,1,p32.1
ENSG00000162415,ZSWIM5,ENSP00000352614,Q9P217,1,p34.1
ENSG00000162600,OMA1,ENSP00000391941,,1,p32.1
ENSG00000116704,SLC35D1,ENSP00000235345,Q9NTN3,1,p31.3
ENSG00000157193,LRP8,ENSP00000303634,Q14114,1,p32.3
ENSG00000116205,TCEANC2,ENSP00000498109,Q96MN5,1,p32.3
ENSG00000162607,USP1,ENSP00000403662,,1,p31.3
ENSG00000154027,AK5,ENSP00000346577,Q9Y6K8,1,p31.1
ENSG00000137960,GIPC2,ENSP00000359795,Q8TF65,1,p31.1
ENSG00000132855,ANGPTL3,ENSP00000360170,Q9Y5C1,1,p31.3
ENSG00000116675,DNAJC6,ENSP00000473821,,1,p31.3
ENSG00000162433,AK4,ENSP00000448458,,1,p31.3
ENSG00000213625,LEPROT,ENSP00000497944,,1,p31.3
ENSG00000158966,CACHD1,ENSP00000498498,Q5VU97,1,p31.3
ENSG00000153898,MCOLN2,ENSP00000359640,Q8IZK6,1,p22.3
ENSG00000117069,ST6GALNAC5,ENSP00000417583,Q9BVH7,1,p31.1
ENSG00000125703,ATG4C,ENSP00000396614,,1,p31.3
ENSG00000162618,ADGRL4,ENSP00000383813,,1,p31.1
ENSG00000131233,GJA9,ENSP00000354020,P57773,1,p34.3
ENSG00000137941,TTLL7,ENSP00000435334,Q6ZT98,1,p31.1
ENSG00000066135,KDM4A,ENSP00000361473,O75164,1,p34.2
ENSG00000117174,ZNHIT6,ENSP00000359606,Q9NWK9,1,p22.3
ENSG00000184313,MROH7,ENSP00000396622,Q68CQ1,1,p32.3
ENSG00000122420,PTGFR,ENSP00000359794,P43088,1,p31.1
ENSG00000143013,LMO4,ENSP00000359575,P61968,1,p22.3
ENSG00000134748,PRPF38A,ENSP00000257181,Q8NAV1,1,p32.3
ENSG00000142892,PIGK,ENSP00000359848,Q92643,1,p31.1
ENSG00000197273,GUCA2A,ENSP00000349493,Q02747,1,p34.2
ENSG00000116641,DOCK7,ENSP00000251157,Q96N67,1,p31.3
ENSG00000172260,NEGR1,ENSP00000350364,Q7Z3B1,1,p31.1
ENSG00000182183,SHISAL2A,ENSP00000429726,Q6UWV7,1,p32.3
ENSG00000067334,DNTTIP2,ENSP00000411010,Q5QJE6,1,p22.1
ENSG00000142949,PTPRF,ENSP00000353030,P10586,1,p34.2
ENSG00000171502,COL24A1,ENSP00000359603,Q17RW2,1,p22.3
ENSG00000116157,GPX7,ENSP00000354677,Q96SL4,1,p32.3
ENSG00000143036,SLC44A3,ENSP00000389143,Q8N4M1,1,p21.3
ENSG00000065243,PKN2,ENSP00000317851,,1,p22.2
ENSG00000117528,ABCD3,ENSP00000359233,P28288,1,p21.3
ENSG00000271723,MROH7-TTC4,ENSP00000475315,,1,p32.3
ENSG00000036549,ZZZ3,ENSP00000359837,Q8IYH5,1,p31.1
ENSG00000189433,GJB4,ENSP00000345868,Q9NTQ9,1,p34.3
ENSG00000142700,DMRTA2,ENSP00000399370,Q96SC8,1,p32.3
ENSG00000127124,HIVEP3,ENSP00000494598,Q5T1R4,1,p34.2
ENSG00000137936,BCAR3,ENSP00000359267,O75815,1,p22.1
ENSG00000143032,BARHL2,ENSP00000359474,Q9NY43,1,p22.2
ENSG00000117519,CNN3,ENSP00000359225,Q15417,1,p21.3
ENSG00000134215,VAV3,ENSP00000359073,Q9UKW4,1,p13.3
ENSG00000152078,TLCD4,ENSP00000359222,Q96MV1,1,p21.3
ENSG00000171492,LRRC8D,ENSP00000435609,,1,p22.2
ENSG00000170989,S1PR1,ENSP00000498194,,1,p21.2
ENSG00000116299,ELAPOR1,ENSP00000431134,,1,p13.3
ENSG00000137962,ARHGAP29,ENSP00000449764,,1,p22.1
ENSG00000117154,IGSF21,ENSP00000251296,Q96ID5,1,p36.13
ENSG00000162377,COA7,ENSP00000360593,Q96BR5,1,p32.3
ENSG00000116774,OLFML3,ENSP00000358564,Q9NRN5,1,p13.2
ENSG00000023909,GCLM,ENSP00000359258,P48507,1,p22.1
ENSG00000069702,TGFBR3,ENSP00000433477,,1,p22.1
ENSG00000198198,SZT2,ENSP00000361528,Q5T011,1,p34.2
ENSG00000116793,PHTF1,ENSP00000358611,,1,p13.2
ENSG00000117525,F3,ENSP00000334145,P13726,1,p21.3
ENSG00000198162,MAN1A2,ENSP00000348959,O60476,1,p12
ENSG00000171517,LPAR3,ENSP00000395389,Q9UBY5,1,p22.3
ENSG00000143079,CTTNBP2NL,ENSP00000271277,Q9P2B4,1,p13.2
ENSG00000173947,CIMAP3,ENSP00000358753,Q8TCI5,1,p13.2
ENSG00000134198,TSPAN2,ENSP00000358529,O60636,1,p13.2
ENSG00000117620,SLC35A3,ENSP00000491146,,1,p21.2
ENSG00000162688,AGL,ENSP00000355106,P35573,1,p21.2
ENSG00000197106,SLC6A17,ENSP00000330199,Q9H1V8,1,p13.3
ENSG00000185946,RNPC3,ENSP00000437278,Q96LT9,1,p21.1
