ensembl_gene_id,external_gene_name,ensembl_peptide_id,uniprotswissprot,chromosome_name,band
ENSG00000261732,,ENSP00000399780,,16,p13.3
ENSG00000197562,RAB40C,ENSP00000454347,,16,p13.3
ENSG00000257108,NHLRC4,ENSP00000410858,P0CG21,16,p13.3
ENSG00000167930,FAM234A,ENSP00000499529,,16,p13.3
ENSG00000103126,AXIN1,ENSP00000262320,O15169,16,p13.3
ENSG00000167972,ABCA3,ENSP00000301732,Q99758,16,p13.3
ENSG00000267795,SMIM22,ENSP00000465660,K7EJ46,16,p13.3
ENSG00000131634,TMEM204,ENSP00000253934,Q9BSN7,16,p13.3
ENSG00000168096,ANKS3,ENSP00000304586,Q6ZW76,16,p13.3
ENSG00000059145,UNKL,ENSP00000373873,,16,p13.3
ENSG00000242173,ARHGDIG,ENSP00000404435,,16,p13.3
ENSG00000187535,IFT140,ENSP00000354895,Q96RY7,16,p13.3
ENSG00000140632,GLYR1,ENSP00000466570,,16,p13.3
ENSG00000089486,CDIP1,ENSP00000454994,Q9H305,16,p13.3
ENSG00000103489,XYLT1,ENSP00000261381,Q86Y38,16,p12.3
ENSG00000162104,ADCY9,ENSP00000460066,,16,p13.3
ENSG00000103199,ZNF500,ENSP00000219478,O60304,16,p13.3
ENSG00000182601,HS3ST4,ENSP00000330606,Q9Y661,16,p12.1
ENSG00000005339,CREBBP,ENSP00000262367,Q92793,16,p13.3
ENSG00000076344,RGS11,ENSP00000380876,O94810,16,p13.3
ENSG00000102858,MGRN1,ENSP00000468171,,16,p13.3
ENSG00000166828,SCNN1G,ENSP00000300061,P51170,16,p12.2
ENSG00000122254,HS3ST2,ENSP00000261374,Q9Y278,16,p12.2
ENSG00000170537,TMC7,ENSP00000455041,,16,p12.3
ENSG00000090905,TNRC6A,ENSP00000326900,Q8NDV7,16,p12.1
ENSG00000048471,SNX29,ENSP00000457085,,16,p13.13
ENSG00000058600,POLR3E,ENSP00000299853,Q9NVU0,16,p12.2
ENSG00000153443,UBALD1,ENSP00000465706,Q8TB05,16,p13.3
ENSG00000171208,NETO2,ENSP00000455169,Q8NC67,16,q12.1
ENSG00000067365,METTL22,ENSP00000457291,,16,p13.2
ENSG00000102910,LONP2,ENSP00000285737,Q86WA8,16,q12.1
ENSG00000156968,MPV17L,ENSP00000287594,Q2QL34,16,p13.11
ENSG00000129636,ITFG1,ENSP00000319918,Q8TB96,16,q12.1
ENSG00000102900,NUP93,ENSP00000310668,Q8N1F7,16,q13
ENSG00000150394,CDH8,ENSP00000462018,,16,q21
ENSG00000167186,COQ7,ENSP00000322316,Q99807,16,p12.3
ENSG00000169181,GSG1L,ENSP00000394954,Q6UXU4,16,p12.1
ENSG00000122299,ZC3H7A,ENSP00000379773,Q8IWR0,16,p13.13
ENSG00000087245,MMP2,ENSP00000461421,P08253,16,q12.2
ENSG00000102970,CCL17,ENSP00000219244,Q92583,16,q21
ENSG00000166246,DNAAF8,ENSP00000299320,Q8IYS4,16,p13.3
ENSG00000007545,CRAMP1,ENSP00000501151,,16,p13.3
ENSG00000102962,CCL22,ENSP00000219235,O00626,16,q21
ENSG00000256812,CAPNS2,ENSP00000400882,Q96L46,16,q12.2
ENSG00000135720,DYNC1LI2,ENSP00000258198,O43237,16,q22.1
